Data Item,Table,Table Columns,Is CMDB Field?/Comments,
normalized_variant      ,application_name_variants,normalized_variant      ,"No, Internal Field",
variant_hash            ,application_name_variants,variant_hash            ,"No, Internal Field",
client_account_id       ,application_name_variants,client_account_id       ,"No, Internal Field",
engagement_id           ,application_name_variants,engagement_id           ,"No, Internal Field",
variant_embedding       ,application_name_variants,variant_embedding       ,"No, Internal Field",
similarity_score        ,application_name_variants,similarity_score        ,"No, Internal Field",
match_method            ,application_name_variants,match_method            ,"No, Internal Field",
match_confidence        ,application_name_variants,match_confidence        ,"No, Internal Field",
usage_count             ,application_name_variants,usage_count             ,"No, Internal Field",
first_seen_at           ,application_name_variants,first_seen_at           ,"No, Internal Field",
last_used_at            ,application_name_variants,last_used_at            ,"No, Internal Field",
created_at              ,application_name_variants,created_at              ,"No, Internal Field",
updated_at              ,application_name_variants,updated_at              ,"No, Internal Field",
asset_id           ,asset_compliance_flags,asset_id           ,"No, Internal Field",
compliance_scopes  ,asset_compliance_flags,compliance_scopes  ,"No, Internal Field",
data_classification,asset_compliance_flags,data_classification,"No, Internal Field",
residency          ,asset_compliance_flags,residency          ,"No, Internal Field",
evidence_refs      ,asset_compliance_flags,evidence_refs      ,"No, Internal Field",
created_at         ,asset_compliance_flags,created_at         ,"No, Internal Field",
updated_at         ,asset_compliance_flags,updated_at         ,"No, Internal Field",
id                      ,asset_custom_attributes,id                      ,"No, Internal Field",
client_account_id       ,asset_custom_attributes,client_account_id       ,"No, Internal Field",
engagement_id           ,asset_custom_attributes,engagement_id           ,"No, Internal Field",
asset_id                ,asset_custom_attributes,asset_id                ,"No, Internal Field",
asset_type              ,asset_custom_attributes,asset_type              ,"No, Internal Field",
attributes              ,asset_custom_attributes,attributes              ,"No, Internal Field",
source                  ,asset_custom_attributes,source                  ,"No, Internal Field",
import_batch_id         ,asset_custom_attributes,import_batch_id         ,"No, Internal Field",
import_timestamp        ,asset_custom_attributes,import_timestamp        ,"No, Internal Field",
pattern_detected        ,asset_custom_attributes,pattern_detected        ,"No, Internal Field",
suggested_standard_field,asset_custom_attributes,suggested_standard_field,"No, Internal Field",
created_at              ,asset_custom_attributes,created_at              ,"No, Internal Field",
updated_at              ,asset_custom_attributes,updated_at              ,"No, Internal Field",
id                 ,asset_dependencies,id                 ,"No, Internal Field",
asset_id           ,asset_dependencies,asset_id           ,Yes,
depends_on_asset_id,asset_dependencies,depends_on_asset_id,Yes,
dependency_type    ,asset_dependencies,dependency_type    ,Yes,
description        ,asset_dependencies,description        ,Yes,
created_at         ,asset_dependencies,created_at         ,"No, Internal Field",
updated_at         ,asset_dependencies,updated_at         ,"No, Internal Field",
relationship_nature,asset_dependencies,relationship_nature,Yes,
direction          ,asset_dependencies,direction          ,Yes,
criticality        ,asset_dependencies,criticality        ,Yes,
dataflow_type      ,asset_dependencies,dataflow_type      ,Yes,
id                ,asset_licenses,id                ,"No, Internal Field",
asset_id          ,asset_licenses,asset_id          ,"No, Internal Field",
license_type      ,asset_licenses,license_type      ,Yes,
renewal_date      ,asset_licenses,renewal_date      ,Yes,
contract_reference,asset_licenses,contract_reference,Yes,
support_tier      ,asset_licenses,support_tier      ,Yes,
created_at        ,asset_licenses,created_at        ,"No, Internal Field",
updated_at        ,asset_licenses,updated_at        ,"No, Internal Field",
id                ,asset_product_links,id                ,"No, Internal Field",
asset_id          ,asset_product_links,asset_id          ,"No, Internal Field",
catalog_version_id,asset_product_links,catalog_version_id,"No, Internal Field",
tenant_version_id ,asset_product_links,tenant_version_id ,Yes,
confidence_score  ,asset_product_links,confidence_score  ,"No, Internal Field",
matched_by        ,asset_product_links,matched_by        ,"No, Internal Field",
created_at        ,asset_product_links,created_at        ,"No, Internal Field",
updated_at        ,asset_product_links,updated_at        ,"No, Internal Field",
id         ,asset_resilience,id         ,"No, Internal Field",
asset_id   ,asset_resilience,asset_id   ,"No, Internal Field",
rto_minutes,asset_resilience,rto_minutes,Yes,
rpo_minutes,asset_resilience,rpo_minutes,Yes,
sla_json   ,asset_resilience,sla_json   ,Yes,
created_at ,asset_resilience,created_at ,"No, Internal Field",
updated_at ,asset_resilience,updated_at ,"No, Internal Field",
id         ,asset_vulnerabilities,id         ,"No, Internal Field",
asset_id   ,asset_vulnerabilities,asset_id   ,"No, Internal Field",
cve_id     ,asset_vulnerabilities,cve_id     ,"No, Internal Field",
severity   ,asset_vulnerabilities,severity   ,Yes,
detected_at,asset_vulnerabilities,detected_at,"No, Internal Field",
source     ,asset_vulnerabilities,source     ,Yes,
details    ,asset_vulnerabilities,details    ,Yes,
created_at ,asset_vulnerabilities,created_at ,"No, Internal Field",
updated_at ,asset_vulnerabilities,updated_at ,"No, Internal Field",
id               ,blackout_periods,id               ,"No, Internal Field",
client_account_id,blackout_periods,client_account_id,"No, Internal Field",
engagement_id    ,blackout_periods,engagement_id    ,"No, Internal Field",
scope_type       ,blackout_periods,scope_type       ,"No, Internal Field",
application_id   ,blackout_periods,application_id   ,"No, Internal Field",
asset_id         ,blackout_periods,asset_id         ,Yes,
start_date       ,blackout_periods,start_date       ,Yes,
end_date         ,blackout_periods,end_date         ,Yes,
reason           ,blackout_periods,reason           ,Yes,
created_at       ,blackout_periods,created_at       ,Yes,
updated_at       ,blackout_periods,updated_at       ,Yes,
id                ,lifecycle_milestones,id                ,"No, Internal Field",
catalog_version_id,lifecycle_milestones,catalog_version_id,Yes,
tenant_version_id ,lifecycle_milestones,tenant_version_id ,"No, Internal Field",
milestone_type    ,lifecycle_milestones,milestone_type    ,Yes,
milestone_date    ,lifecycle_milestones,milestone_date    ,Yes,
source            ,lifecycle_milestones,source            ,Yes,
provenance        ,lifecycle_milestones,provenance        ,Yes,
last_checked_at   ,lifecycle_milestones,last_checked_at   ,Yes,
created_at        ,lifecycle_milestones,created_at        ,Yes,
updated_at        ,lifecycle_milestones,updated_at        ,Yes,
id               ,maintenance_windows,id               ,"No, Internal Field",
client_account_id,maintenance_windows,client_account_id,"No, Internal Field",
engagement_id    ,maintenance_windows,engagement_id    ,"No, Internal Field",
scope_type       ,maintenance_windows,scope_type       ,Yes,
application_id   ,maintenance_windows,application_id   ,Yes,
asset_id         ,maintenance_windows,asset_id         ,Yes,
name             ,maintenance_windows,name             ,Yes,
start_time       ,maintenance_windows,start_time       ,Yes,
end_time         ,maintenance_windows,end_time         ,Yes,
recurring        ,maintenance_windows,recurring        ,Yes,
timezone         ,maintenance_windows,timezone         ,Yes,
created_at       ,maintenance_windows,created_at       ,"No, Internal Field",
updated_at       ,maintenance_windows,updated_at       ,"No, Internal Field",
